"Tipo","Numero","Ano","Complemento","DataAtualizacao","DataLegislacao","Ementa","Resumo","Origem","Fonte","Observacao","AssuntoGeral","LinkTextoOriginal","LinkTextoAtualizado"
"LEI","25676","2026","","06/01/2026","02/01/2026","Declara de utilidade pública a Associação de Equoterapia Domingos José
de Carvalho – AEDJC –, com sede no Município de Bambuí.","","Legislativo","<a href=""https://diariolegislativo.almg.gov.br/2026/L20260106.pdf"">Publicação</a> - Diário do Legislativo - 06/01/2026 Pág. 1 Col. 1","","","https://dadosabertos.almg.gov.br/api/v2/legislacao/mineira/LEI/25676/2026/documento?conteudo=true&tipoDoc=142",""
"LEI","25677","2026","","06/01/2026","02/01/2026","Declara de utilidade pública a Associação de Apoio aos Pais e
Familiares de Pessoas com Transtorno do Espectro Autista de Arcos-MG,
com sede no Município de Arcos.","","Legislativo","<a href=""https://diariolegislativo.almg.gov.br/2026/L20260106.pdf"">Publicação</a> - Diário do Legislativo - 06/01/2026 Pág. 1 Col. 1","","","https://dadosabertos.almg.gov.br/api/v2/legislacao/mineira/LEI/25677/2026/documento?conteudo=true&tipoDoc=142",""
"LEI","25678","2026","","06/01/2026","02/01/2026","Declara de utilidade pública a Associação dos Pais e Amigos dos
Autistas de Capelinha-MG, com sede no Município de Capelinha.","","Legislativo","<a href=""https://diariolegislativo.almg.gov.br/2026/L20260106.pdf"">Publicação</a> - Diário do Legislativo - 06/01/2026 Pág. 2 Col. 1","","","https://dadosabertos.almg.gov.br/api/v2/legislacao/mineira/LEI/25678/2026/documento?conteudo=true&tipoDoc=142",""
"DNE","2","2026","","06/01/2026","05/01/2026","Declara de utilidade pública, para desapropriação de pleno domínio,
terreno necessário às obras viárias para implantação da Ponte sobre o
Rio Paranaíba, na Rodovia LMG-722, trecho Rocinha (Pilar) – Lagamar, no
Município de Patos de Minas.","","Executivo","<a href=""https://www.jornalminasgerais.mg.gov.br/edicao-do-dia?dados=%7B%22dataPublicacaoSelecionada%22:%222026-01-06T06:00:00.000Z%22%7D"">Publicação</a> - Minas Gerais Diário do Executivo - 06/01/2026 Pág. 1 Col. 1","","","https://dadosabertos.almg.gov.br/api/v2/legislacao/mineira/DNE/2/2026/documento?conteudo=true&tipoDoc=142",""
"DNE","1","2026","","06/01/2026","05/01/2026","Reconhece o Decreto Municipal nº 3.143, de 23 de dezembro de 2025, do
Prefeito Municipal de Carvalhópolis, que declarou SITUAÇÃO DE
EMERGÊNCIA nas áreas do município afetadas por Chuvas Intensas –
1.3.2.1.4.","","Executivo","<a href=""https://www.jornalminasgerais.mg.gov.br/edicao-do-dia?dados=%7B%22dataPublicacaoSelecionada%22:%222026-01-06T06:00:00.000Z%22%7D"">Publicação</a> - Minas Gerais Diário do Executivo - 06/01/2026 Pág. 1 Col. 1","","","https://dadosabertos.almg.gov.br/api/v2/legislacao/mineira/DNE/1/2026/documento?conteudo=true&tipoDoc=142",""
"DNE","3","2026","","06/01/2026","05/01/2026","Declara de utilidade pública, para desapropriação de pleno domínio,
terreno necessário às obras viárias de melhoramento e pavimentação da
Rodovia MG-338, trecho Ibertioga – Piedade do Rio Grande, no Município
de Ibertioga.","","Executivo","<a href=""https://www.jornalminasgerais.mg.gov.br/edicao-do-dia?dados=%7B%22dataPublicacaoSelecionada%22:%222026-01-06T06:00:00.000Z%22%7D"">Publicação</a> - Minas Gerais Diário do Executivo - 06/01/2026 Pág. 1 Col. 2","","","https://dadosabertos.almg.gov.br/api/v2/legislacao/mineira/DNE/3/2026/documento?conteudo=true&tipoDoc=142",""
"DNE","5","2026","","06/01/2026","05/01/2026","Declara de utilidade pública, para constituição de servidão, terrenos
necessários à extensão da Rede de Distribuição Rural Buritis, de 34,5
kV, do Sistema Cemig, no Município de Buritis.","","Executivo","<a href=""https://www.jornalminasgerais.mg.gov.br/edicao-do-dia?dados=%7B%22dataPublicacaoSelecionada%22:%222026-01-06T06:00:00.000Z%22%7D"">Publicação</a> - Minas Gerais Diário do Executivo - 06/01/2026 Pág. 5 Col. 1","","","https://dadosabertos.almg.gov.br/api/v2/legislacao/mineira/DNE/5/2026/documento?conteudo=true&tipoDoc=142",""
"DNE","4","2026","","06/01/2026","05/01/2026","Declara de utilidade pública, para constituição de servidão, terrenos
necessários à extensão da Rede de Distribuição Rural Fronteira, de 13,8
kV, do Sistema Cemig, no Município Fronteira.","","Executivo","<a href=""https://www.jornalminasgerais.mg.gov.br/edicao-do-dia?dados=%7B%22dataPublicacaoSelecionada%22:%222026-01-06T06:00:00.000Z%22%7D"">Publicação</a> - Minas Gerais Diário do Executivo - 06/01/2026 Pág. 4 Col. 2","","","https://dadosabertos.almg.gov.br/api/v2/legislacao/mineira/DNE/4/2026/documento?conteudo=true&tipoDoc=142",""
"DNE","6","2026","","06/01/2026","05/01/2026","Declara de utilidade pública, para constituição de servidão, terreno
necessário à extensão da Rede de Distribuição Rural Ibiá, de 13,8 kV,
do Sistema Cemig, no Município de Ibiá.","","Executivo","<a href=""https://www.jornalminasgerais.mg.gov.br/edicao-do-dia?dados=%7B%22dataPublicacaoSelecionada%22:%222026-01-06T06:00:00.000Z%22%7D"">Publicação</a> - Minas Gerais Diário do Executivo - 06/01/2026 Pág. 5 Col. 2","","","https://dadosabertos.almg.gov.br/api/v2/legislacao/mineira/DNE/6/2026/documento?conteudo=true&tipoDoc=142",""
"LEI","25679","2026","","07/01/2026","06/01/2026","Dispõe sobre a desafetação dos trechos de rodovia
que especifica e
autoriza o Poder Executivo a doar ao
Município de Silveirânia as áreas
correspondentes.","","Legislativo","<a href=""https://www.jornalminasgerais.mg.gov.br/edicao-do-dia?dados=%7B%22dataPublicacaoSelecionada%22:%222026-01-07T06:00:00.000Z%22%7D"">Publicação</a> - Minas Gerais Diário do Executivo - 07/01/2026 Pág. 1 Col. 1","","","https://dadosabertos.almg.gov.br/api/v2/legislacao/mineira/LEI/25679/2026/documento?conteudo=true&tipoDoc=142",""
"LEI","25680","2026","","07/01/2026","06/01/2026","Reconhece como de relevante interesse cultural do Estado o Grupo Zé
Pereira da Chácara, grupo carnavalesco do Município de Mariana.","","Legislativo","<a href=""https://www.jornalminasgerais.mg.gov.br/edicao-do-dia?dados=%7B%22dataPublicacaoSelecionada%22:%222026-01-07T06:00:00.000Z%22%7D"">Publicação</a> - Minas Gerais Diário do Executivo - 07/01/2026 Pág. 1 Col. 1","","","https://dadosabertos.almg.gov.br/api/v2/legislacao/mineira/LEI/25680/2026/documento?conteudo=true&tipoDoc=142",""
